date,trial_id,sample_id,start_time,mass_pre,mass_post,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,smoke_duration,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,self_ig_start,max_temp,notes
5/24/23,35,DK36,16:17:00,0.112,0.106,147.3,154.4,yes,4,2,40,4,147.9,131.1,2,0,,147.9,NA
5/27/23,39,DK37,11:58:00,0.692,0.225,147.2,137.8,yes,52,7,600,14,127,188,50,0,,188,more than 600
5/27/23,43,DK38,15:12:00,0.246,0.184,138.2,150.4,yes,4,20,106,16,121,137.8,8,0,,137.8,NA
5/27/23,40,DK39,12:15:00,0.082,0.068,145.7,148.5,yes,2,4,78,7,135.8,142.1,3,0,,142.1,NA
5/28/23,49,DK40,11:42:00,0.495,0.101,146.5,141.7,yes,14,207,600,46,329.3,314,75,0,,329.3,more than 600
5/28/23,50,DK41,12:02:00,0.071,0.052,146.4,143.5,yes,1,20,600,13,150.6,153.8,10,0,,153.8,more than 600
5/27/23,41,DK42,12:22:00,0.034,0.026,141.9,143.2,no,1,1,58,5,131.8,143.9,3,0,,143.9,NA
5/27/23,44,DK43,15:21:00,0.362,0.111,146.5,141.2,no,55,210,35,35,216,218.2,60,0,,218.2,NA
5/27/23,42,DK44,12:28:00,0.197,0.139,142.1,146.1,yes,2,22,156,25,134.8,154.5,30,0,,154.5,NA
5/28/23,51,DK45,12:14:00,0.049,0.041,150.4,143.7,no,2,2,81,4,147,135.5,3,0,,147,7 seconds delay in turning on the blow torch
5/29/23,58,DK46,11:59:00,0.368,0.077,147.2,137.3,no,15,185,500,30,235.9,270.9,80,0,,270.9,NA
5/27/23,45,DK47,15:33:00,0.299,0.226,154.8,138.8,yes,10,12,548,9,144.8,129.6,10,0,,144.8,NA
5/27/23,48,DK48,16:11:00,0.126,0.101,153,148.4,no,12,2,106,12,136.5,125.2,3,0,,136.5,visible negative effect of wind speed
5/27/23,46,DK49,15:47:00,0.391,0.061,150.4,138.5,yes,25,15,600,12,127.7,124.7,90,0,,127.7,more than 600
5/27/23,47,DK50,16:03:00,0.105,0.068,148.9,141.1,yes,2,35,180,21,168.2,183.1,65,0,,183.1,NA
5/29/23,59,DK51,12:16:00,0.087,0.071,147.7,134.5,yes,4,6,285,5,157,131.4,3,0,,157,NA
5/29/23,61,DK52,12:33:00,0.395,0.066,154.1,137.5,yes,6,248,600,32,246.7,252.9,80,0,,252.9,more than 600
5/29/23,62,DK53,12:52:00,0.123,0.089,153.7,134.6,yes,1,36,373,21,174.6,172.1,35,0,,174.6,NA
5/29/23,60,DK54,12:25:00,0.122,0.108,151.6,145.1,yes,1,5,70,9,146.6,128.8,4,0,,146.6,NA
5/28/23,54,JDK01,13:24:00,0.665,0.505,148,135.3,yes,35,25,273,10,134,116.8,3,0,,134,measure later post disc
5/28/23,55,JDK02,13:41:00,0.468,0.332,151.3,142.5,yes,43,7,600,4,134,116.4,4,0,,134,more than 600
5/28/23,56,JDK03,13:57:00,0.661,0.381,152.2,135.9,yes,28,200,600,21,148.3,226.2,25,0,,226.2,more than 600
5/28/23,57,JDK04,14:16:00,0.307,0.091,153,134.9,no,14,356,350,25,195,197,15,0,,197,NA
5/28/23,52,JDK05,12:44:00,0.77,0.186,142.9,141.2,yes,0,384,600,27,203.4,219,85,1,118,203.4,more than 600
5/28/23,53,JDK06,13:08:00,0.483,0.371,139.8,142.3,yes,26,8,600,9,197,128.4,5,0,,197,more than 600
5/29/23,63,JDK07,13:37:00,0.456,0.324,147.1,141.2,yes,10,30,600,13,137.3,128.3,3,0,,137.3,more than 600
5/29/23,64,JDK08,13:51:00,0.595,0.42,144.3,144.8,yes,12,13,600,10,150.5,127.7,5,0,,150.5,more than 600
5/29/23,65,JDK09,14:05:00,0.705,0.432,149.8,144.2,yes,30,65,600,28,151.9,172.9,10,0,,172.9,more than 600
5/29/23,66,JDK10,14:22:00,1.119,0.213,152.3,147.7,yes,0,405,600,32,298.4,224.5,80,1,115,298.4,more than 600
6/8/23,67,DK55,14:18:00,0.709,0.173,147,146.7,yes,22,320,600,31,234.5,238.3,85,0,,238.3,more than 600
6/8/23,68,DK56,14:38:00,0.096,0.093,142.3,141.9,yes,2,12,31,10,135.6,131.8,5,0,,135.6,NA
6/8/23,69,DK57,14:45:00,0.102,0.09,143.2,148.7,no,1,5,25,7,138.5,141.9,3,0,,141.9,NA
6/8/23,70,DK58,14:51:00,0.666,0.12,133.6,144.6,yes,0,319,600,47,275.3,300,85,1,100,300,more than 600
6/9/23,80,DK59,14:17:00,0.13,0.115,141.4,148.5,yes,1,40,215,24,173.5,173.2,40,0,,173.5,NA
6/8/23,71,DK60,15:09:00,0.069,0.053,145.6,147.3,no,10,2,18,9,151.5,135.4,3,0,,151.5,NA
6/8/23,72,DK61,15:16:00,0.644,0.08,146.5,144.3,yes,57,234,600,38,267,280,90,0,,280,more than 600
6/8/23,73,DK62,15:44:00,0.144,0.12,146.9,145.8,no,1,9,40,13,149.2,137.9,7,0,,149.2,NA
6/9/23,81,DK63,14:25:00,0.049,0.033,144.9,154.6,no,3,8,147,12,147.4,153.4,5,0,,153.4,NA
6/9/23,91,DK64,17:25:00,0.267,0.068,152.9,145.4,yes,15,215,70,31,255.5,218.8,90,0,,255.5,NA
6/8/23,74,DK65,15:48:00,0.082,0.057,144.4,143.2,yes,1,17,42,18,149.2,150,30,0,,150,NA
6/8/23,77,DK66,16:40:00,0.073,0.054,150,152.4,no,3,5,137,12,149.9,143,7,0,,149.9,NA
6/8/23,78,DK67,16:46:00,0.504,0.315,150.1,139.6,yes,37,10,600,11,144.8,120.8,3,0,,144.8,more than 600
6/8/23,79,DK68,17:02:00,0.098,0.081,141.5,150.5,yes,2,30,98,18,161.9,165.4,20,0,,165.4,NA
6/9/23,82,DK69,14:34:00,0.046,0.028,148.7,151,no,7,11,129,11,147.5,143.6,4,0,,147.5,NA
6/9/23,92,DK70,17:35:00,0.28,0.115,147,150.1,yes,18,127,600,28,172,206.3,35,0,,206.3,more than 600
6/9/23,93,DK71,17:51:00,0.062,0.054,143.9,143.8,yes,1,24,120,16,160.8,150.8,15,0,,160.8,NA
6/9/23,94,DK72,17:58:00,0.079,0.065,147.5,141.6,no,2,26,117,12,162.5,150.9,,0,,162.5,NA
6/8/23,75,JDK11,16:09:00,0.535,0.263,142.6,141.7,yes,63,269,373,23,183.4,245.4,75,0,,245.4,NA
6/8/23,76,JDK12,16:25:00,0.392,0.282,147.4,143.9,yes,19,19,600,10,134.9,109.9,5,0,,134.9,more than 600
6/9/23,86,JDK13,15:38:00,0.525,0.099,156.3,144.2,yes,38,261,340,37,390.3,284.3,85,0,,390.3,NA
6/9/23,83,JDK14,14:39:00,0.47,0.37,150.5,146,yes,39,11,240,8,128.4,117.7,3,0,,128.4,NA
6/9/23,84,JDK15,14:48:00,0.485,0.368,142.3,147.9,no,71,56,73,17,127.5,155.5,5,0,,155.5,NA
6/9/23,85,JDK16,14:59:00,0.476,0.064,155.7,138.6,no,41,279,600,24,265.3,255.1,85,0,,265.3,more than 600
6/9/23,87,JDK17,15:18:00,0.686,0.08,151.9,147.1,yes,47,356,600,30,224,292.7,90,0,,292.7,more than 600
6/9/23,88,JDK18,16:37:00,0.291,0.103,153.6,146.8,no,25,119,600,23,238.9,277.7,40,0,,277.7,more than 600
6/9/23,89,JDK19,16:56:00,0.252,0.16,153.2,144.4,yes,0,60,600,6,147,126.6,6,1,80,147,more than 600
6/9/23,90,JDK20,17:11:00,0.624,0.448,153,143.9,yes,20,30,600,6,125.8,116.5,5,0,,125.8,more than 600
6/14/23,95,DK73,15:27:00,0.323,0.164,143.2,147.4,yes,33,114,191,25,138.2,212.3,30,0,,212.3,NA
6/14/23,96,DK74,15:37:00,0.153,0.125,147.3,143.5,yes,3,29,225,7,143.8,158.7,6,0,,158.7,NA
6/14/23,97,DK75,15:46:00,0.133,0.105,152.2,145.5,no,5,3,222,5,144.6,138.2,3,0,,144.6,NA
6/14/23,98,DK76,15:54:00,0.477,0.096,151.6,138.2,yes,17,314,237,30,220.8,211.2,55,0,,220.8,NA
6/14/23,99,DK77,16:08:00,0.099,0.065,143.6,151.5,yes,2,43,71,22,151.7,164.6,30,0,,164.6,NA
6/14/23,100,DK78,16:15:00,0.099,0.079,146,140.8,no,3,6,32,5,155,132.5,4,0,,155,NA
6/15/23,104,DK79,13:31:00,0.529,0.069,148,142.3,yes,73,196,141,28,297.3,300.1,85,0,,300.1,NA
6/15/23,105,DK80,13:43:00,0.085,0.07,153.2,139.6,yes,2,12,46,18,154.1,128.5,7,0,,154.1,NA
6/15/23,106,DK81,13:48:00,0.092,0.059,156.9,142.5,yes,3,2,75,5.5,144,131.1,2,0,,144,NA
6/14/23,101,DK82,16:20:00,0.266,0.045,139.3,150.3,yes,0,198,600,28,224.4,262.2,75,1,100,262.2,more than 600
6/14/23,102,DK83,16:37:00,0.118,0.058,144.4,147.6,yes,4,48,198,23,166.2,162.6,20,0,,166.6,NA
6/14/23,103,DK84,16:45:00,0.103,0.081,143.5,146.3,no,3,3,98,4,153.4,145.8,3,0,,153.4,NA
6/15/23,107,DK86,13:56:00,0.11,0.085,149.3,144.4,yes,3,31,46,29,146,152.9,15,0,,152.9,NA
6/16/23,117,DK87,16:28:00,0.057,0.034,136.6,144.8,yes,2,29,180,18,163.5,156.1,25,0,,163.5,NA
6/16/23,116,DK88,16:10:00,0.361,0.071,149.4,135,no,32,198,600,38,283.8,266,75,0,,283.8,more than 600
6/16/23,118,DK89,16:36:00,0.069,0.049,136.1,141.6,yes,2,19,109,19,162.5,153.9,15,0,,162.5,NA
6/15/23,108,DK90,14:04:00,0.069,0.043,144.2,144.6,yes,2,4,134,7,147.7,142.6,6,0,,147.7,NA
6/15/23,109,JDK21,14:11:00,0.66,0.09,149.1,138.5,yes,29,421,600,31,222.6,200.3,90,0,,222.6,more than 600
6/15/23,110,JDK22,14:32:00,0.593,0.104,143.8,147.8,yes,16,224,600,36,270,271.9,90,0,,271.9,more than 600
6/15/23,111,JDK23,14:50:00,0.276,0.056,145.3,148.2,no,23,139,600,28,242,296.2,80,0,,296.2,more than 600
6/15/23,112,JDK24,15:06:00,0.53,0.486,142.8,135,yes,32,8,202,9.5,135.2,143.5,3,0,,143.5,NA
6/15/23,113,JDK25,15:08:00,0.819,0.752,131.9,141.7,yes,73,8,600,3.5,144.8,131.8,5,0,,144.8,more than 600
6/16/23,121,JDK26,18:42:00,0.426,0.272,143.9,142,yes,17,21,600,9,120.6,139.9,45,0,,139.9,more than 600
6/15/23,114,JDK27,15:15:00,0.526,0.096,147.2,148.8,yes,10,227,483,37,250.1,284.3,80,0,,284.3,NA
6/16/23,115,JDK28,15:53:00,0.28,0.059,139.1,143.8,yes,7,210,600,38,232.3,211.9,75,0,,232.3,more than 600
6/16/23,119,JDK29,16:44:00,0.459,0.042,139.2,145.9,yes,14,172,600,39,332.4,333.7,90,0,,333.7,more than 600
6/16/23,120,JDK30,17:02:00,0.341,0.074,138.4,143.1,yes,13,141,600,35,338.7,276.9,80,0,,338.7,more than 600
6/17/23,129,DK91,13:01:00,0.611,0.433,144.1,143.8,yes,41,20,569,7,138,119.1,5,0,,138,NA
6/16/23,124,DK92,17:34:00,0.124,0.059,144,138.1,yes,2,34,104,36,188,215.5,60,0,,215.5,NA
6/16/23,122,DK93,17:20:00,0.045,0.017,141.6,138.2,yes,1,28,121,14,180.8,165.2,30,0,,180.8,NA
6/17/23,142,DK94,16:54:00,0.324,0.092,142.2,141.1,yes,26,354,600,25,211.3,269.1,80,0,,269.1,NA
6/17/23,130,DK95,13:17:00,0.116,0.113,148.4,136.5,yes,4,114,62,31,157.1,141.7,55,0,,157.1,NA
6/16/23,127,DK97,18:09:00,0.52,0.392,145.5,138.6,yes,10,28,600,5,122.4,148.7,3,0,,148.7,more than 600
6/16/23,123,DK98,17:27:00,0.113,0.053,140,140.8,yes,2,50,136,24,149,206.6,40,0,,206.6,NA
6/17/23,143,DK99,17:18:00,0.149,0.117,147.5,141.9,no,28,12,96,12,141.1,128.2,5,0,,141.1,NA
6/17/23,131,DK100,13:25:00,0.341,0.053,146.7,141.7,yes,12,251,600,33,235.6,223.5,85,0,,235.6,more than 600
6/17/23,140,DK101,15:48:00,0.108,0.066,142.2,141.3,yes,2,50,298,21,154.7,145.7,25,0,,154.7,NA
6/17/23,141,DK102,16:48:00,0.031,0.022,146.3,140,no,1,4,110,9,148.1,148.7,3,0,,148.7,NA
6/17/23,132,DK103,13:43:00,0.619,0.147,140.1,144.4,yes,18,192,600,37,314.3,306.8,65,0,,314.3,more than 600
6/16/23,125,DK104,17:42:00,0.127,0.091,142.3,140.5,yes,15,15,12,10,140.5,164.9,5,0,,164.9,NA
6/17/23,144,DK105,17:26:00,0.074,0.057,142.4,142.9,yes,6,2,82,7,130.5,150.3,3,0,,150.3,NA
6/17/23,133,DK106,14:00:00,0.382,0.051,145,141.6,no,11,177,600,36,294.2,308.3,80,0,,308.3,more than 600
6/17/23,134,DK107,14:16:00,0.081,0.048,150.6,139.3,yes,1,29,180,23,169.4,163.1,45,0,,169.4,NA
6/17/23,135,DK108,14:35:00,0.046,0.028,150,149.9,yes,2,15,280,19,146.3,146.7,10,0,,146.7,NA
6/17/23,136,JDK31,14:43:00,1.023,0.092,150.7,137.5,yes,21,338,379,33,275.8,266.2,90,0,,275.8,NA
6/17/23,137,JDK32,15:00:00,0.398,0.058,149.9,138.2,yes,22,208,600,27,329.3,295.7,90,0,,329.2,more than 600
6/16/23,126,JDK33,17:49:00,0.342,0.069,141.3,148.9,yes,23,339,600,25,242.1,231.9,80,0,,242.1,more than 600
6/16/23,128,JDK34,18:23:00,0.534,0.049,139.6,141.7,yes,26,8,600,7,123.3,122.4,90,0,,123.3,more than 600
6/17/23,145,JDK35,17:31:00,0.321,0.127,141.2,143.5,no,49,2,181,27,161.3,200.1,55,0,,200.1,NA
6/17/23,146,JDK36,17:44:00,0.355,0.079,144.3,141.2,yes,21,152,600,39,202.2,247.3,75,0,,247.3,more than 600
6/17/23,147,JDK37,18:03:00,0.307,0.12,147.2,143.9,no,42,55,556,21,152.6,190.9,45,0,,190.9,NA
6/17/23,148,JDK38,18:23:00,0.517,0.096,143.6,143.2,yes,25,279,600,27,274.4,274.9,80,0,,274.9,more than 600
6/17/23,138,JDK39,15:17:00,0.375,0.067,145.9,140,yes,27,239,316,34,279.2,257.7,75,0,,279.2,NA
6/17/23,139,JDK40,15:31:00,0.365,0.037,141,142.8,yes,35,209,578,31,314.7,285.6,90,0,,314.7,NA
5/04/24,1,FT01,10:11:00,320.5,80.5,136.8,140.4,yes,15,206,,32,180.1,271.4,85,0,,357.3,NA
5/04/24,6,FT02,10:52:00,296.7,47.3,139.9,144.7,yes,21,335,,27,179.6,212.6,95,0,,315.7,female
5/04/24,23,FT03,14:32:00,450.1,70.9,140,139.4,yes,12,370,,38,213.4,182.8,83,0,,338.9,NA
5/04/24,15,FT04,13:23:00,539.9,100.7,144.2,149,yes,30,282,,35,207,277.1,80,0,,461.8,female
5/04/24,18,FT05,13:48:00,320.1,110.3,134.3,144.1,yes,9,164,,33,196.5,296.3,50,0,,378.4,NA
5/04/24,21,FT06,14:11:00,300.4,80.8,140.4,139.2,yes,6,310,,33,176.6,196.5,75,0,,560.2,NA
5/04/24,22,FT07,14:24:00,,,,,,,,,,,,,0,,,NA
5/04/24,7,FT08,11:04:00,50.5,39.5,148.4,148.7,yes,1,3,,9,131.6,142.8,3,0,,142.8,NA
5/04/24,2,FT09,10:23:00,100.8,70.3,139,146.1,no,1,12,,14,128.32,123,22,0,,133.8,NA
5/04/24,32,FT10,17:12:00,43.5,28.2,143,131.8,yes,2,7,,8,137.5,126.8,5,0,,138,NA
5/04/24,17,FT11,13:41:00,30.5,20.9,136,145.6,yes,1,8,,9.5,126.8,131.2,4,0,,138.8,NA
5/04/24,14,FT12,11:42:00,51.5,38.4,143.3,140,yes,1,10,,24,139.9,141.6,7,0,,142.9,NA
5/04/24,27,FT13,16:41:00,30.6,20.5,145.5,143.9,yes,2,6,,21,143.9,137.1,6,0,,137.1,NA
5/04/24,34,FT14,17:23:00,38.6,32.9,147.1,129.9,yes,1,11,,14,149,128.7,5,0,,150,NA
5/04/24,16,FT15,13:35:00,50.9,30.9,138.3,140,yes,1,14,,45,138.4,148.1,52,0,,230.8,NA
5/04/24,8,FT16,11:09:00,62.3,53.8,133,140.4,yes,1,20,,33.5,140,126.2,17,0,,130.2,NA
5/04/24,3,FT17,10:31:00,59.6,35.9,145.1,134.6,yes,1,10,,3.1,147.8,162.9,16,0,,160.2,NA
5/04/24,12,FT18,11:32:00,83.4,49.8,135.5,131.6,yes,1,43,,32,135,152,60,0,,170.3,NA
5/04/24,20,FT19,14:05:00,70.8,60.9,135.8,136.9,yes,1,16,,22,136.9,140.6,5,0,,142,NA
5/04/24,28,FT20,16:47:00,70.5,60.7,142.1,137.7,yes,1,18,,33,140,144,30,0,,149.9,NA
5/04/24,35,FT21,17:29:00,59.9,38.3,145.9,133.8,yes,1,17,,27,142.9,137.6,40,0,,148.1,NA
5/04/24,4,FT22,10:41:00,38.6,30.7,143.6,137.8,yes,3,3,,5,137.8,131.9,2,0,,149,NA
5/04/24,9,FT23,11:15:00,40.8,28.3,137.5,141.3,yes,2,2,,6,126.8,130.7,2,0,,130.7,NA
5/04/24,25,FT24,16:25:00,40.6,30.5,147.7,135,yes,1,10,,14,140.7,147,4,0,,149,NA
5/04/24,19,FT25,14:00:00,30.4,20.5,137.2,139.3,yes,3,9,,8,135.9,138.8,2,0,,141.4,NA
5/04/24,11,FT26,11:25:00,74.5,64.9,144.8,139.7,yes,1,4,,7,127.1,122.4,1,0,,129.5,NA
5/04/24,24,FT27,14:47:00,40.9,65.1,137.5,142.6,yes,1,14,,20.5,128.9,155.5,6,0,,155.5,NA
5/04/24,31,FT28,17:05:00,50.1,66.4,148.4,137,yes,1,17,,12,141.7,137,15,0,,141.7,NA
5/04/24,26,FT29,16:32:00,80.5,67.6,149.1,137.3,yes,1,5,,10,142,138.5,1,0,,142,NA
5/04/24,10,FT30,11:20:00,81.9,68.8,139,137.1,no,1,9,,11,134.5,133.6,6,0,,134.3,NA
5/04/24,5,FT31,10:47:00,82.9,69.3,137.3,138.2,yes,1,16,,13.5,131.8,153.4,5,0,,153.4,NA
5/04/24,29,FT32,16:52:00,83.6,70.7,142.2,149.8,yes,1,9,,21,140.9,136.7,1,0,,153.1,NA
5/04/24,13,FT33,11:37:00,84.4,71.8,139.4,141.7,yes,1,5,,7,141.7,138,2,0,,190,NA
5/04/24,30,FT34,16:59:00,85.8,72.4,144.2,141.6,yes,1,9,,12.5,150.6,130.3,3,0,,150.6,NA
5/04/24,33,FT35,17:17:00,86.9,73.4,142.7,139.9,yes,1,25,,11,137.7,127.6,8,0,,138,NA
05/13/24,36,ST01,11:04:00,114.5,87.2,141.2,138.3,yes,2,31,,27,139.2,148.2,22,0,,174,NA
05/13/24,42,ST02,15:29:00,144.5,97.2,139.4,136.4,yes,3,18,,27,154,182.2,35,0,,235,NA
05/13/24,48,ST03,18:52:00,98.1,74.6,136.3,134.4,yes,2,16,,23,112.2,122.8,15,0,,170,NA
05/14/24,67,ST04,23:21:00,118.8,63.1,133.9,133.3,no,3,50,,19,162.7,152.5,65,0,,208.2,NA
05/14/24,68,ST05,23:28:00,138.3,102.3,137.9,135.2,no,4,95,,14,126.6,130.8,35,0,,159,NA
05/14/24,69,ST06,23:35:00,117,100.9,137.9,130.9,no,2,16,,11,131.5,142.1,8,0,,220,NA
05/14/24,70,ST07,23:40:00,130.7,121.4,134.2,132.3,no,4,13,,10,126.7,131.9,10,0,,177,NA
05/13/24,37,ST08,11:11:00,353.2,283.9,142.6,140,yes,19,24,,25,126,113.2,5,0,,126,NA
05/13/24,43,ST09,15:38:00,282.8,141.6,131.3,140.1,yes,28,282,,25,160.9,156.9,60,0,,235,NA
05/13/24,49,ST10,19:13:00,168.7,145.6,138.1,133.3,yes,24,10,,7,120.9,133.2,3,0,,135,NA
05/14/24,55,ST11,17:35:00,281.3,123.5,131.3,132.4,no,8,157,,32,202,272.1,80,0,,389.1,NA
05/14/24,56,ST12,17:44:00,128,114.8,133.4,134.6,no,7,85,,25,145.1,146.9,30,0,,224.7,NA
05/14/24,57,ST13,17:51:00,203.8,120.2,130.3,134.1,no,5,132,,23,136.6,191.5,70,0,,253.6,NA
05/14/24,58,ST14,18:24:00,189.6,72.4,132.1,136.2,yes,3,83,,28,244.4,245.1,90,0,,379,NA
05/13/24,38,ST15,11:20:00,85.2,73.9,139.8,132,no,1,5,,19,135.4,114.8,2,0,,135.4,NA
05/13/24,44,ST16,15:55:00,52.5,36.3,131.4,132.5,no,1,16,,24,135.4,154.6,40,0,,164,NA
05/13/24,50,ST17,19:19:00,162.4,49.9,139.7,142.4,yes,2,27,,16,136.5,129,10,0,,156,NA
05/14/24,71,ST18,23:45:00,99.3,85.4,132.6,131.7,no,3,7,,7,122.2,97,3,0,,96,NA
05/14/24,72,ST19,23:53:00,88.2,47.6,131.6,132,no,1,9,,11,140.7,126.9,8,0,,140.7,NA
05/14/24,73,ST20,23:58:00,26.3,20.4,134.2,133.1,no,3,7,,8,130.2,128.7,9,0,,130.2,NA
,,ST21,,,,,,,,,,,,,,0,,,NA
05/13/24,39,ST22,11:26:00,22.1,15.6,137,135.1,yes,1,7,,20,142.7,135.9,15,0,,145,NA
05/13/24,45,ST23,16:01:00,40.7,28.5,130.7,141.6,yes,1,25,,19,137.6,147.2,20,0,,151.9,NA
05/13/24,51,ST24,19:24:00,54.2,46.6,135.7,132.4,yes,1,15,,17,134,135.3,8,0,,155,NA
05/15/24,74,ST25,00:03:00,76.1,63.1,133.7,130.6,no,3,9,,7,124.6,120.1,4,0,,124.6,NA
05/13/24,54,ST26,19:59:00,20.9,18.8,129.5,132.6,no,1,5,,6,122.5,123.4,4,0,,124.2,NA
05/15/24,75,ST27,00:08:00,45.7,38,135.4,129,no,2,10,,8,133.2,120.8,8,0,,133.2,NA
,,ST28,,,,,,,,,,,,,,0,,,NA
05/13/24,40,ST29,11:32:00,417.4,166.8,137.6,134.2,yes,75,165,,33,122,197,60,0,,217,NA
05/13/24,46,ST30,16:07:00,343,60.8,132.9,133.5,yes,36,225,,30,227.7,275.1,90,0,,308,NA
05/13/24,52,ST31,19:30:00,430.4,140.8,140.7,138.6,no,45,275,,25,182.6,229.7,80,0,,313.7,NA
05/14/24,59,ST32,18:35:00,275.3,19.5,136.5,134.3,no,20,303,,22,286.6,244.9,90,0,,355.1,NA
05/14/24,60,ST33,18:48:00,261.2,67.3,136.8,137,no,8,242,,22,178.1,193.1,90,0,,254.6,NA
