sample_id,spcode,temp,rh,wind_speed
FT25,PRAN3,66.1,70.7,1.1
FT26,PRAN3,66.5,69.1,0.9
FT27,PRAN3,68.9,58.8,0.9
FT28,PRAN3,61,66.7,0
FT29,CELAR,64.3,64.2,0.9
FT30,CELAR,66.8,59.2,0.9
FT31,CELAR,69.7,61.8,1
FT32,CELAR,65,63.1,1.1
FT33,CELAR,65,70.6,1.2
FT34,CELAR,63.7,65.7,0
FT35,CELAR,63.6,70,1.3
ST01,QUVI,72.5,40.1,1.6
ST02,QUVI,100.1,19.9,1.2
ST03,QUVI,82.6,22.8,1.4
ST04,QUVI,79.4,38.4,3.6
ST05,QUVI,80.1,39.8,4.2
ST06,QUVI,76.1,41.2,5.3
ST07,QUVI,76.4,41.8,4.1
ST08,SOSE3,78.8,33.6,0.6
ST09,SOSE3,89.6,21.1,1.1
ST10,SOSE3,83.3,22.2,1.4
ST11,SOSE3,85.8,21.2,7.1
ST12,SOSE3,85.7,17.8,2.4
ST13,SOSE3,85.2,15.9,2.5
ST14,SOSE3,84.9,15.4,5.3
ST15,FOPU2,79.4,32.9,2.2
ST16,FOPU2,103.2,14.6,1.3
ST17,FOPU2,81.3,22.6,1.2
ST18,FOPU2,75.2,41.9,6.1
ST19,FOPU2,74.8,42.9,8
ST20,FOPU2,75.2,43.5,2.8
ST21,FOPU2,NA,NA,NA
ST22,SEBE2,85.1,25.9,1.4
ST23,SEBE2,91.2,17.3,1.1
ST24,SEBE2,81.2,24.4,0.8
ST25,SEBE2,74.3,43.8,7.4
ST26,SEBE2,75.9,23.8,1
ST27,SEBE2,74.4,44.3,3
ST28,SEBE2,NA,NA,NA
ST29,JUAS,87.3,21.7,0.8
ST30,JUAS,89.4,17.5,1.4
ST31,JUAS,81.7,22.2,0.7
ST32,JUAS,84.7,15.9,9.8
ST33,JUAS,86.7,20.3,4.8
ST34,JUAS,86.7,19.6,4.2
ST35,JUAS,86,20.9,4.7
ST36,JUAS,82.2,26.7,1.2
ST37,JUAS,88.6,19.2,1.6
ST38,JUAS,77.7,23.9,0.9
