,sample_id,disc1_pre,disc2_pre,disc1_post,disc2_post,max_temp,ignition_delay,fresh_mass,dry_mass,wp,spcode
44,QUMA3BR04,138.3,143.8,143.9,171.5,213,2,2.4,1.15,-0.39,QUMA3
45,QUMA3BR20,153.3,150.7,138.3,130.6,132.4,1,2.7818,1.4606,-1.61,QUMA3
46,QUMA3BR15,137.4,145.3,141.2,136.6,149.4,1,1.9831,0.9994,-2.23,QUMA3
47,QUMA3BR21,136.1,138.8,102.6,128.9,139.8,1,1.5039,0.7918,-3.06,QUMA3
48,QUMA3BR16,146.6,141.8,133,113.9,120.6,1,1.495,0.7823,-3.32,QUMA3
49,QUMA3BR12,147.3,130.4,127.1,123.3,135.7,1,1.384,0.7319,-3.36,QUMA3
50,QUMA3BR14,131.1,143.8,127.9,134.2,134.5,1,0.5015,0.2861,-3.76,QUMA3
51,QUMA3BR06,144.6,137.7,127.1,147.7,149.7,2,0.9874,0.6036,-5.1,QUMA3
52,QUMA3BR02,131.2,149.7,136.7,143.4,159.5,1,0.9683,0.5944,-5.18,QUMA3
53,QUMA3BR05,132.3,141.5,140,157.1,207.3,1,2.0758,1.316,-5.88,QUMA3
54,QUMA3BR09,148.2,142.3,136.7,143.4,159.5,1,2.0791,1.3237,-5.89,QUMA3
55,QUMA3BR11,137.5,144.7,173.8,209.2,525.9,1,0.926,0.7678,-7,QUMA3
56,QUMA3BR17,146.1,144.5,139.1,157.1,307.8,1,2.0652,1.3395,-7,QUMA3
57,QUMA3BR18,140.2,137.9,137,160.4,231.8,1,1.6807,1.0694,-7,QUMA3
58,SEGR4BR32,133.7,136.9,132.7,125.2,132.7,3,1.28,0.6685,-2.89,SEGR4
59,SEGR4BR33,145.1,151.8,145.4,144.4,147.5,2,1.35,0.6531,-0.77,SEGR4
60,SEGR4BR28,145.2,145.4,145.5,146,158.7,2,0.8,0.3752,-3.39,SEGR4
61,SEGR4BR34,142.7,141,142.4,153.8,158,4,0.64,0.3142,-1.52,SEGR4
62,SEGR4BR23,131.5,142.9,119.5,106.2,120.4,3,0.79,0.4,-2.55,SEGR4
63,SEGR4BR29,140.7,139.3,129.2,136,137,1,1.23,0.56,-2.63,SEGR4
64,SEGR4BR31,150.2,145.5,149.2,141,155.3,1,0.3629,0.181,-4.08,SEGR4
65,SEGR4BR27,149.7,132.9,147.3,142.7,145.1,1,0.129,0.073,-4.98,SEGR4
66,SEGR4BR26,145.6,150.4,136.9,154.8,160,1,0.2885,0.2054,-5.32,SEGR4
67,SEGR4BR36,150.1,147.2,129,132.6,134.2,1,0.9696,0.6271,-6.09,SEGR4
68,SEGR4BR24,150.7,146.7,144.1,151.5,150.2,1,0.2188,0.2025,-8,SEGR4
69,SEGR4BR30,149.6,145.6,144.6,141.4,185.4,1,0.1892,0.1498,-8,SEGR4
70,ULCRMI01,150.1,147.9,132,146.8,164.6,2,0.9862,0.5407,-0.4,ULCR
71,ULCRMI03,140.5,148.8,160.2,168.7,213.4,1,1.3042,0.6745,-0.48,ULCR
72,ULCRMI02,129.1,127.5,127,131.4,131.6,1,1.6604,0.9539,-0.54,ULCR
73,ULCRCO33,134.8,136.7,130.4,120.9,130.4,2,1.4291,0.7689,-1.51,ULCR
74,ULCRMI08,139,133.2,133.7,129.1,137.4,1,0.9708,0.5758,-1.52,ULCR
75,ULCRCO32,135,133.3,114.4,125.5,125.5,3,1.5468,0.8483,-1.55,ULCR
76,ULCRMI09,139.8,131.7,127.6,139.9,139.9,1,0.977,0.4738,-2.08,ULCR
77,ULCRCO03,149.5,147.2,139.4,138,144.3,1,0.5514,0.3013,-2.37,ULCR
78,ULCRCO01,148.5,145,144.4,143.4,145.2,1,1.5165,0.8452,-2.65,ULCR
79,ULCRCO02,145.2,153.8,141.6,158.9,158.9,1,1.1654,0.6416,-2.69,ULCR
80,ULCRMI07,143.8,138.1,131.1,127.4,131.1,1,0.5054,0.2567,-2.82,ULCR
81,ULCRCO53,134.7,132.9,116.5,122,122,1,1.1542,0.6785,-3.01,ULCR
82,ULCRCO49,135.9,133,124.9,113.5,124.9,1,0.8037,0.4602,-3.57,ULCR
83,ULCRCO31,136.9,137.6,138.1,131.1,138.1,1,0.6476,0.3608,-3.89,ULCR
84,ULCRCO48,135.9,132.2,132.2,129.3,132.2,1,1.4151,0.8352,-4.54,ULCR
85,ULCRCO51,137.9,130.9,138.4,136.2,138.4,1,0.9472,0.5672,-4.56,ULCR
86,ULCRMI04,144.2,148,161.9,162.6,211.5,1,1.27,0.835,-4.66,ULCR
87,ULCRCO50,136.5,133.9,128.9,117.9,128.7,1,0.6348,0.3901,-5.15,ULCR
88,ULCRCO29,137.5,134.1,127.7,116,127.7,1,0.5352,0.3399,-5.52,ULCR
89,ULCRCO30,137,137.9,137.7,131.9,148.8,1,1.0622,0.6822,-5.56,ULCR
90,ULCRCO52,133,133.7,136.4,119.3,136.4,1,0.8092,0.5246,-6.35,ULCR
91,ULCRMI06,141.7,143.3,160.7,137.1,171.3,1,0.6762,0.4403,-6.44,ULCR
92,ULCRMI05,135.1,134,147.2,172.2,254.8,1,0.377,0.2623,-6.65,ULCR
93,JUNMON01,134.5,131.2,143.7,229.7,235.7,7,1.6602,1.0991,-6.4,JUMO
94,JUNMON02,133.1,136.8,295.8,446,541.3,12,1.5849,1.0829,-6.08,JUMO
95,JUNMON03,143,142.4,196.9,301.2,397.8,4,2.1813,1.48,-6.23,JUMO
96,JUNMON04,138.1,133.2,398.2,433.4,490.1,5,3.1485,2.1784,-6.1,JUMO
97,JUNDEP01,133.5,138.7,348,347,348,10,0.9278,0.648,-7.1,JUDE2
98,JUNDEP02,131.4,130.6,200.7,241.5,314.1,6,1.673,1.0787,-8.12,JUDE2
99,JUNDEP03,137.2,139.8,155,262,392.6,11,3.3546,2.2427,-7.28,JUDE2
100,JUNDEP04,134.5,131.2,294,322,440,14,1.5224,1.0078,-7.3,JUDE2
101,PSEMEN01,144.6,141.1,247.5,324.2,374.7,2,0.335,0.1991,-6.12,PSME
102,PSEMEN01_02,133.2,145.3,194.1,297.8,373.5,4,0.335,0.1991,-6.12,PSME
103,PSEMEN02,136,141.9,163.9,273,372.2,1,0.3765,0.2524,-7.4,PSME
104,PSEMEN03,140.1,138.8,208.8,248.2,291.7,4,0.7583,0.4292,-5.28,PSME
105,PSEMEN03_02,139.5,141.3,221.4,264.4,336.9,17,0.7583,0.4292,-5.28,PSME
106,PSEMEN04,130.1,130.4,127.5,195.2,336.9,9,1.2702,0.6582,-6.03,PSME
107,PINSTR01,130.7,131.2,261,206,283,1,0.0721,0.0385,-7.35,PIST3
108,PINSTR02,135.8,140.4,205.11,205.3,255.3,1,0.1159,0.0616,-7.55,PIST3
109,PINSTR03,143.2,143.2,211,209.2,352.4,1,0.0643,0.0338,-8,PIST3
110,PINSTR03_02,135.2,135.2,163.1,185.6,232.2,1,0.0643,0.0338,-8,PIST3
111,PINSTR04,143.5,143.5,170.5,151.4,283,1,0.071,0.0396,-7.3,PIST3
112,PINSTR04_02,144.5,144.5,150,171.4,218,1,0.071,0.0396,-7.3,PIST3
113,PINPON01,132.2,137.4,124.3,164.1,182.5,3,0.693,0.4084,-7.2,PIPO
114,PINPON02,133.3,136.5,168.2,140.6,170.6,3,0.382,0.2106,-7.8,PIPO
115,PINPON03,141.1,143.2,97.4,114.2,203,4,0.42,0.2281,-7.2,PIPO
116,PINPON04,139.7,131,157.9,168.9,184.7,2,0.2503,0.1638,-7.42,PIPO
117,PSEMEN06,138.5,139.1,113.2,136.5,141.8,14,0.6509,0.3229,-0.35,PSME
118,PSEMEN07,131.2,140.2,131,136.5,159.6,7,1.4182,0.6486,-0.91,PSME
119,PSEMEN10,138.1,144.9,125.2,161.1,215.3,22,1.1145,0.4994,-0.69,PSME
120,PINSTR06,133.8,134.3,118.7,143,143,6,1.6493,0.7187,-0.56,PIST3
121,PINSTR09,142.3,140.3,112,104.8,119,3,0.6267,0.3061,-0.55,PIST3
122,PINSTR10,137.1,137.4,129.7,134.1,163.5,2,1.0929,0.536,-0.56,PIST3
123,PINPON07,133.2,143,154.4,234.3,299.7,6,0.345,0.158,-1.07,PIPO
124,PINPON10,140.1,131,198.5,247.7,259,6,0.3479,0.1725,-0.65,PIPO
125,PINPON12,136.6,149.7,254,221,350,7,0.4732,0.2715,-1.33,PIPO
126,JUNMON07,146.2,143.3,275,300.3,349,60,2.8804,1.7474,-1.23,JUMO
127,JUNMON08,144.1,149.8,314,241.6,408.8,51,1.1879,0.7152,-0.29,JUMO
128,JUNMON10,140.7,136,319,328,376,19,2.9235,1.7418,-1.49,JUMO
129,JUNDEP05,140,148.1,149,245.9,348.9,70,1.4645,0.7767,-0.85,JUDE2
130,JUNDEP06,133.9,145.8,123.1,184.6,253.6,80,1.1314,0.5692,-0.76,JUDE2
131,JUNDEP07,141.1,143.8,149.6,158.1,176,60,0.7749,0.4162,-0.94,JUDE2
132,PSEMEN08,142,140.7,116,112.8,116,17,1.4944,0.699,-1.63,PSME
133,PSEMEN09,146,136.1,132.7,145,150,16,1.4352,0.7882,-1.98,PSME
134,PSEMEN13,136.3,133.1,131.2,128.7,131.2,12,0.6769,0.3502,-1.65,PSME
135,PINSTR07,133,135.4,150.7,182.2,205.4,2,1.2359,0.5874,-2.45,PIST3
136,PINSTR08,126.2,138,109.3,116.5,116.5,7,1.5895,0.7683,-2.18,PIST3
137,PINSTR12,136.4,140.3,154.4,122.2,160.7,1,1.0985,0.5698,-2.47,PIST3
138,PINPON08,140.4,143,250.2,188.2,304,9,2.1036,1.1466,-1.5,PIPO
139,PINPON09,135.2,138.1,197,128,220,23,2.318,1.0931,-0.19,PIPO
140,PINPON11,133,131.8,243.3,237.7,302,5,2.2723,1.2963,-2.1,PIPO
141,PINPON13,143.4,145.6,190,187,210,6,2.2605,1.1707,-1.69,PIPO
142,JUNMON05,134.5,134.4,195,290,396,67,0.6238,0.3548,-0.18,JUMO
143,JUNMON06,145.8,138.7,291,383.8,392,21,1.2324,0.7181,-2.76,JUMO
144,JUNMON09,139.6,144.1,150,179,201,49,0.9507,0.5365,-0.33,JUMO
145,JUNMON12,142.2,137,301.7,236.8,376,35,2.2786,1.3532,-3.33,JUMO
146,JUNMON13,139.5,130.4,291,272,490,18,2.4384,1.4497,-3.12,JUMO
147,JUNDEP08,133.3,133.7,177.8,288.6,363,22,2.483,1.403,-2.68,JUDE2
148,JUNDEP09,143.5,141.4,119.8,135.5,135.5,75,3.8759,2.1761,-1.98,JUDE2
149,JUNDEP10,135.3,132.6,161.2,137,580.6,60,1.8042,1.0288,-2.69,JUDE2
150,PSEMEN05,132,139.6,137.7,138.2,141.2,15,0.935,0.4533,-1.98,PSME
151,PSEMEN11,146.2,145.2,207,212.2,256.2,10,1.1965,0.6301,-2.58,PSME
152,PSEMEN12,135.4,136.6,276.8,320.8,388.4,6,1.6573,0.8865,-2.09,PSME
153,PINEDU01,134.7,144.4,153.1,176.4,187.5,4,3.5824,1.983,-4.5,PIED
154,PINEDU02,132.6,140.3,274.2,377.6,530.5,2,1.819,1.0784,-5.89,PIED
155,PINEDU03,134.4,132.9,233.7,272.2,317,1,1.7312,1.1189,-5.45,PIED
156,LARTRI01,148.2,145.6,148.1,141.7,148.1,5,2.526,1.3486,-5.02,LATR2
157,LARTRI02,149.9,143.8,145.2,142.4,145.2,3,2.266,1.2881,-5.2,LATR2
158,LARTRI03,147.7,145.5,146.3,136.5,146.3,1,3.7618,2.3612,-6.19,LATR2
159,LARTRI04,144.3,137.5,138.8,159.3,265.1,2,3.3109,1.9616,-6.47,LATR2
160,JUNMON11,139.9,141.6,325.2,303.3,447.7,28,0.6117,0.3808,-1.83,JUMO
161,PINSTR05,146.9,135.4,150.6,184.6,189,1,0.346,0.1882,-3.05,PIST3
162,PINSTR11,143.6,150,212.2,223.5,362.1,1,0.3462,0.1929,-3.23,PIST3
163,PINSTR13,145.5,148.6,236.5,221.3,334,1,0.3254,0.1612,-3.27,PIST3
164,PINPON05,134.4,138,239,208.7,347,4,1.8242,0.9529,-3.38,PIPO
165,PINPON06,144.9,138.1,155.5,219.9,285.5,3,1.6462,0.8631,-4.26,PIPO
166,PINEDU07,142.3,135,118.6,100.1,118.6,12,1.355,0.5989,-0.36,PIED
167,PINEDU10,153.3,146.5,143,139,143,23,2.09,0.9078,-0.24,PIED
168,PINEDU12,143,135.6,129,137,137,25,2.2056,1.0063,-0.1,PIED
169,LARTRI05,148.7,144.5,131.3,137.1,144.5,30,1.015,0.5045,-0.56,LATR2
170,LARTRI06,144.8,143.7,141,125,141,15,1.1797,0.4724,-0.47,LATR2
171,LARTRI07,147.9,144.5,118,136,136,2,1.6276,0.7755,-3.39,LATR2
172,LARTRI08,146.9,149.7,144.3,170.3,161,2,1.0523,0.5597,-3.59,LATR2
173,LARTRI09,147,151,116.5,145.1,148,1,1.546,0.7456,-3.62,LATR2
174,LARTRI10,143.3,136,133.3,127.3,133.3,20,1.428,0.7416,-0.92,LATR2
175,PINEDU06,141.4,145.2,248.6,283.5,443,25,0.7262,0.4157,-1.1,PIED
176,PINEDU08,147.8,143.6,136.4,161.5,186,18,0.7262,0.4157,-1.12,PIED
177,PINEDU11,136.5,145.7,135,139,154,19,1.2922,0.7017,-1.86,PIED
178,JUNDEP11,148.7,137.2,192.5,254.1,274,35,2.7572,1.4608,-3.9,JUDE2
179,JUNDEP12,143.8,141.3,194,275.3,304,23,2.0723,1.218,-5.7,JUDE2
180,JUNDEP13,148.8,146.8,233.2,267.7,446,22,1.9962,1.1199,-4.8,JUDE2
181,JUNDEP14,138,144.3,143.8,175.6,180,35,1.6292,0.8554,-4.65,JUDE2
182,JUNDEP15,139.5,136.4,142.8,197.6,223,30,1.4397,0.7778,-4.9,JUDE2
183,JUNDEP18,141.5,140.2,137.9,161.5,203,5,3.7559,1.9667,-3.7,JUDE2
184,PSEMEN15,142,138.7,163.9,196,212,10,1.064,0.5146,-2.09,PSME
185,JUNMON14,142.1,136.4,280.7,352.2,439,45,1.5577,0.9466,-2.82,JUMO
186,JUNMON16,133.1,133.3,272.2,330.3,367,57,1.3331,0.7471,-2.48,JUMO
187,JUNMON18,145,148.3,253.7,298.5,392,30,2.2299,1.2886,-3.21,JUMO
188,JUNDEP16,137.7,147.9,138.6,142,142,55,1.8335,0.9014,-2.31,JUDE2
189,JUNDEP17,140.9,150.3,183.8,280.1,402,115,3.0868,1.5704,-2.36,JUDE2
190,JUNDEP19,146.8,143.1,133.4,129.6,127,140,1.8715,0.9724,-1.98,JUDE2
191,PINSTR15,136,148,133.9,192.2,210,1,2.5731,1.1236,-3.33,PIST3
192,PINSTR16,137.3,137.1,165.2,160.9,284,1,2.0225,1.1192,-3.25,PIST3
193,PINSTR19,145,141.5,133.4,158.7,160,1,2.2697,1.0385,-3.35,PIST3
194,PINPON16,131.2,134.6,108.7,130.8,144.5,4,2.0225,1.1192,-3.25,PIPO
195,PINPON18,137.8,139.5,354.4,270.6,384,17,0.9063,0.4869,-3.16,PIPO
196,PINPON21,143.1,136.3,125.3,168.3,175.4,5,1.054,0.5923,-2.63,PIPO
197,PINPON22,143.2,143,288.9,292,337,12,1.2338,0.6703,-3.3,PIPO
198,PINEDU04,134.4,147.9,209.7,287.7,329.5,5,1.6232,0.8547,-2.09,PIED
199,PINEDU05,132.5,144.7,191.9,299.9,412.9,1,1.2617,0.9098,-3.4,PIED
200,PINEDU09,139.5,137,246.2,188.1,296,4,1.7149,0.8961,-2.89,PIED
201,JUNMON15,136.2,133.8,320,283,345,12,2.961,1.7955,-4.06,JUMO
202,JUNMON17,131.8,135.9,241.6,262.4,385,15,3.379,2.1217,-4.21,JUMO
203,JUNMON19,131.5,145.3,353,414,518,10,1.0656,0.7018,-4.58,JUMO
204,JUNMON20,133.9,145.1,253,202,399,20,2.086,1.2805,-4.22,JUMO
205,PSEMEN14,141.3,145.1,276.2,298.6,365.4,8,0.718,0.4199,-3.15,PSME
206,PSEMEN16,135,134.8,352.8,284.4,396,6,0.9808,0.5553,-3.22,PSME
207,PSEMEN17,147.2,145.5,265.5,229.3,290,8,1.5251,0.7952,-2.82,PSME
208,PINSTR14,142.2,142.2,157.8,208,268,NA,1.5754,1.1253,-7.5,PIST3
209,PINPON14,143.3,147.2,220.4,272.4,298,10,1.7109,0.9989,-4.5,PIPO
210,PINPON15,141.1,147.5,188.9,231.4,278,16,2.1485,0.9634,-3.7,PIPO
211,JUNMON21,140.1,150.5,288.2,301.3,375,11,3.888,2.5332,-5.95,JUMO
212,JUNMON22,146.6,139.8,276.7,258.8,326,25,2.1506,1.4421,-4.92,JUMO
213,PINSTR17,131.7,133.5,144.5,185.4,196,1,2.7228,1.6516,-5.29,PIST3
214,PINSTR18,136,136.8,177.7,185,246.1,1,1.7783,1.0721,-4.3,PIST3
215,PINSTR20,141,144.2,177.3,157.2,184,3,2.2218,1.3254,-4.08,PIST3
216,PINSTR21,134.9,147.4,186.8,232.2,255.7,1,1.5394,1.356,-7,PIST3
217,PINSTR22,137.6,135.1,223.9,241.3,371.5,1,1.0452,0.919,-7,PIST3
218,PINPON17,143.1,135.5,244.6,159,262,12,1.4514,0.7918,-5.02,PIPO
219,PINPON19,135.4,130.4,115,117,117,6,1.4929,0.7833,-4.13,PIPO
220,PINPON20,130.4,132.8,255.3,283.3,311,4,1.4759,0.9773,-5.54,PIPO
221,PSEMEN18,147,135,236.4,260.9,301,2,0.7177,0.4508,-4.06,PSME
222,PSEMEN19,143.5,136,316.4,281.1,326,1,0.6807,0.4517,-5.7,PSME
223,PSEMEN20,133.4,135.6,161.2,269.1,336,2,1.574,0.8033,-4.63,PSME
224,PSEMEN21,147.5,141,235.7,306.5,342,4,0.8769,0.4874,-4.02,PSME
225,PSEMEN22,142,143.9,231.7,184.2,250.8,2,1.7966,1.035,-3.89,PSME
226,LARTRI13,146.1,150.8,134.8,143.4,148,32,0.7447,0.348,-1.54,LATR2
227,LARTRI19,138.8,148.7,136.5,146.8,147.8,10,1.8139,0.8329,-1.9,LATR2
228,LARTRI16,143.5,150.8,143,151.5,153,12,1.58,0.6929,-1.03,LATR2
229,LARTRI11,147.4,150.5,142.3,168.3,189.7,1,1.3204,0.659,-2.72,LATR2
230,LARTRI23,147,139.3,155.2,155.5,161.6,4,1.3739,0.6905,-2.22,LATR2
231,LARTRI24,149.3,146.6,159.5,213.2,214.8,3,1.4257,0.8185,-5.88,LATR2
232,PINEDU15,144.1,140.5,224.2,320.7,478.9,12,2.2083,1.1816,-2.45,PIED
233,PINEDU22,135.1,147.4,104,180,201,20,3.5242,1.9026,-3.08,PIED
234,PINEDU14,138.3,136,258.6,304.3,491.8,23,2.6158,1.5133,-3.09,PIED
235,LARTRI17,149.1,144.1,147.1,154.8,155.8,1,0.7814,0.4549,-7.18,LATR2
236,LARTRI25,147.1,146.8,156.3,179.3,186,2,0.7703,0.5209,-8.2,LATR2
237,LARTRI15,138.3,145,132.1,139.4,142,5,1.3454,0.6788,-3.79,LATR2
238,LARTRI20,135.1,144.3,145.2,168.9,176,3,2.9445,1.4646,-4.04,LATR2
239,LARTRI21,146.3,143,132.5,146.6,155,1,2.1448,1.0617,-3.3,LATR2
240,LARTRI12,141.5,149.2,141.7,164.8,173,5,1.5398,0.8766,-3.55,LATR2
241,JUNDEP20,144.8,147.5,133.9,146.1,146,2,3.0011,2.0964,-4.39,JUDE2
242,JUNDEP21,143,152.6,253.2,262.6,303,3,2.5618,1.6065,-5.09,JUDE2
243,PINEDU13,133.6,130.4,172.2,181.5,186,3,1.5601,0.8967,-4.1,PIED
244,PINEDU17,142.1,138,311.3,305.7,325,3,2.33,1.3209,-4.39,PIED
245,PINEDU20,136.6,130.9,256.3,230.1,301,3,1.5674,0.8465,-3.82,PIED
246,PINEDU21,143.2,136.2,222,243.2,273,1,2.8552,1.613,-4.22,PIED
247,PINSTR23,147.2,142.9,253,291,307,1,0.8301,0.7326,-5.29,PIST3
248,PINSTR24,136.2,139.5,178.7,175.8,186,1,1.3025,0.823,-5.66,PIST3
249,PINSTR25,145.2,136.5,155.5,183.6,183.6,1,2.1509,1.2427,-3.76,PIST3
250,PINEDU16,146.6,139.3,404.1,377.6,799.6,1,1.4938,1.1111,-7.59,PIED
251,PINEDU18,138.8,137.4,233.9,208.9,366.8,1,1.3183,0.9579,-7.63,PIED
252,PINEDU23,132,131.9,234.9,267.2,463.8,2,2.9374,1.7425,-7.01,PIED
253,PINEDU24,142.8,142.7,269.2,273.9,313.9,1,3.193,2.145,-7.06,PIED
