spcode,sample_id,trial_id,wp,removal_time,removal_date,measuring_time,measuring_date,notes
JUPI,JDK14,84,0,9:00,6/9/23,13:39,6/9/23,
JUPI,JDK15,85,0.5,12:15,6/9/23,13:41,6/9/23,
JUPI,JDK16,86,0.2,12:30,6/9/23,13:44,6/9/23,
JUPI,JDK17,87,0.6,15:45,6/8/23,13:45,6/9/23,
JUPI,JDK18,88,0.3,16:00,6/8/23,16:03,6/9/23,
JUPI,JDK19,89,4.1,9:15,6/8/23,16:05,6/9/23,
JUPI,JDK20,90,3.9,9:30,6/8/23,16:09,6/9/23,
JUPI,DK73,95,0.2,14:00,6/14/23,14:40,6/14/23,
PRGL2,DK74,96,0.6,14:00,6/14/23,14:42,6/14/23,
RHTR,DK75,97,0,14:30,6/14/23,14:44,6/14/23,
JUPI,DK76,98,1.2,11:45,6/14/23,14:47,6/14/23,
PRGL2,DK77,99,2.1,12:00,6/14/23,14:49,6/14/23,
RHTR,DK78,100,1.8,13:15,6/14/23,14:50,6/14/23,
JUPI,DK79,104,2.5,6:00,6/15/23,12:18,6/15/23,
PRGL2,DK80,105,3.5,3:15,6/15/23,12:20,6/15/23,
RHTR,DK81,106,2.9,8:30,6/15/23,12:25,6/15/23,
JUPI,DK82,101,0.4,16:30,6/14/23,14:55,6/14/23,
PRGL2,DK83,102,0.9,16:45,6/14/23,14:56,6/14/23,
RHTR,DK84,103,0,17:00,6/14/23,14:57,6/14/23,
PRGL2,DK86,107,5.2,17:00,6/14/23,12:27,6/15/23,
RHTR,DK87,121,3.4,4:15,6/15/23,14:21,6/17/23,
JUPI,DK88,117,4.2,5:15,6/15/23,14:04,6/16/23,
PRGL2,DK89,118,7,2:30,6/15/23,14:07,6/16/23,didn't observe any water bubble even at minus 7.0
RHTR,DK90,108,4.2,18:00,6/14/23,12:32,6/15/23,
JUPI,JDK21,109,0.5,12:30,6/15/23,12:33,6/15/23,
JUPI,JDK22,110,0.4,12:30,6/15/23,12:36,6/15/23,
JUPI,JDK23,111,1.2,11:45,6/15/23,12:37,6/15/23,
JUPI,JDK24,112,1.3,12:00,6/15/23,12:39,6/15/23,
JUPI,JDK25,113,2.2,9:15,6/15/23,12:41,6/15/23,
