sample_id,spcode,wp,hour,time,date,final_weight
SVT25,PRGL2,2.47,5,08:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,3.9,5,08:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,4.06,5,08:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,3.53,6,09:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.2,6,09:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,4.64,6,09:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,4.27,7,10:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.54,7,10:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,5.06,7,10:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,4.9,8,11:39:00 PM,07/16/2024,0.155
SVT27,PRGL2,4.75,8,11:42:00 PM,07/16/2024,0.271
SVT28,PRGL2,5.4,8,11:45:00 PM,07/16/2024,1.3637
SVT25,PRGL2,5.22,9,12:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,4.96,9,12:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,5.98,9,12:45:00 AM,07/17/2024,1.3637
SVT25,PRGL2,5.51,10,01:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,5.21,10,01:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,6.4,10,01:45:00 AM,07/17/2024,1.3637
SVT25,PRGL2,5.98,11,02:39:00 AM,07/17/2024,0.155
SVT27,PRGL2,5.35,11,02:42:00 AM,07/17/2024,0.271
SVT28,PRGL2,6.55,11,02:45:00 AM,07/17/2024,1.3637
