date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
05/17/2024,ST29,JUAS,0.6873,0.6645,0.3422,0.45,
05/17/2024,ST29,JUAS,0.6873,0.6536,0.3422,0.78,
05/17/2024,ST29,JUAS,0.6873,0.6436,0.3422,1.18,
05/17/2024,ST29,JUAS,0.6873,0.6313,0.3422,1.77,
05/17/2024,ST29,JUAS,0.6873,0.6247,0.3422,1.96,
05/17/2024,ST29,JUAS,0.6873,0.6184,0.3422,2.31,
05/17/2024,ST29,JUAS,0.6873,0.6117,0.3422,2.61,
05/17/2024,ST29,JUAS,0.6873,0.607,0.3422,2.83,
05/17/2024,ST29,JUAS,0.6873,0.6,0.3422,3.06,
05/17/2024,ST29,JUAS,0.6873,0.5948,0.3422,3.29,
05/17/2024,ST30,JUAS,1.389,1.3405,0.6455,0.52,
05/17/2024,ST30,JUAS,1.389,1.3192,0.6455,0.75,
05/17/2024,ST30,JUAS,1.389,1.3078,0.6455,0.96,
05/17/2024,ST30,JUAS,1.389,1.2821,0.6455,1.47,
05/17/2024,ST30,JUAS,1.389,1.2628,0.6455,1.8,
05/17/2024,ST30,JUAS,1.389,1.2464,0.6455,2.12,
05/17/2024,ST30,JUAS,1.389,1.2375,0.6455,2.31,
05/17/2024,ST30,JUAS,1.389,1.2251,0.6455,2.5,
05/17/2024,ST30,JUAS,1.389,1.2086,0.6455,2.72,
05/17/2024,ST30,JUAS,1.389,1.1846,0.6455,2.94,
05/18/2024,ST36,JUAS,0.6452,0.6151,0.3143,0.39,
05/18/2024,ST36,JUAS,0.6452,0.6106,0.3143,0.51,
05/18/2024,ST36,JUAS,0.6452,0.6005,0.3143,0.84,
05/18/2024,ST36,JUAS,0.6452,0.5884,0.3143,1.48,
05/18/2024,ST36,JUAS,0.6452,0.5796,0.3143,1.89,
05/18/2024,ST36,JUAS,0.6452,0.5738,0.3143,2.24,
05/18/2024,ST36,JUAS,0.6452,0.5681,0.3143,2.41,
05/18/2024,ST36,JUAS,0.6452,0.5629,0.3143,2.67,
05/18/2024,ST36,JUAS,0.6452,0.5584,0.3143,2.84,
05/18/2024,ST36,JUAS,0.6452,0.5543,0.3143,3.04,
05/18/2024,ST11,SOSE3,0.5428,0.5336,0.2177,0.44,
05/18/2024,ST11,SOSE3,0.5428,0.5281,0.2177,0.87,
05/18/2024,ST11,SOSE3,0.5428,0.5176,0.2177,1.55,
05/18/2024,ST11,SOSE3,0.5428,0.5089,0.2177,2.36,
05/18/2024,ST11,SOSE3,0.5428,0.5042,0.2177,2.51,
05/18/2024,ST11,SOSE3,0.5428,0.5005,0.2177,2.6,
05/18/2024,ST11,SOSE3,0.5428,0.4968,0.2177,2.71,
05/18/2024,ST11,SOSE3,0.5428,0.4945,0.2177,2.77,
05/18/2024,ST11,SOSE3,0.5428,0.4932,0.2177,2.84,
05/18/2024,ST11,SOSE3,0.5428,0.4863,0.2177,3.04,
05/18/2024,ST31,JUAS,0.6751,0.6481,0.3195,0.53,
05/18/2024,ST31,JUAS,0.6751,0.6404,0.3195,0.75,
05/18/2024,ST31,JUAS,0.6751,0.6272,0.3195,1.27,
05/18/2024,ST31,JUAS,0.6751,0.6208,0.3195,1.9,
05/18/2024,ST31,JUAS,0.6751,0.6128,0.3195,2.21,
05/18/2024,ST31,JUAS,0.6751,0.6057,0.3195,2.37,
05/18/2024,ST31,JUAS,0.6751,0.6008,0.3195,2.5,
