sample_id,spcode,date,time,wp,fresh_weight,dry_weight,notes
SOSE34,SOSE3,07/28/2024,10:00:00 PM,6.46,2.4561,,
SOSE35,SOSE3,07/28/2024,10:02:00 PM,5.96,1.1651,,
SOSE36,SOSE3,07/28/2024,10:04:00 PM,5.4,1.189,,
SOSE34,SOSE3,07/29/2024,07:33:00 PM,8,1.5961,,more negative than -8
SOSE35,SOSE3,07/29/2024,07:36:00 PM,8,1.1693,,more negative than -8
SOSE36,SOSE3,07/29/2024,07:39:00 PM,7.19,2.414,,
RHVI31,RHVI3,07/25/2024,02:33:00 PM,0,0.3984,,
RHVI32,RHVI3,07/25/2024,02:39:00 PM,0,1.5363,,
RHVI33,RHVI3,07/25/2024,02:42:00 PM,0,0.2927,,
RHVI31,RHVI3,07/25/2024,05:24:00 PM,0.65,0.8548,,
RHVI32,RHVI3,07/25/2024,05:26:00 PM,0.64,1.7644,,
RHVI33,RHVI3,07/25/2024,05:28:00 PM,0.68,1.3116,,
RHVI31,RHVI3,07/25/2024,08:35:00 PM,0.88,0.8208,,
RHVI32,RHVI3,07/25/2024,08:38:00 PM,0.79,0.656,,
RHVI33,RHVI3,07/25/2024,08:40:00 PM,0.82,1.7256,,
RHVI31,RHVI3,07/26/2024,02:57:00 AM,0.96,1.2607,,
RHVI32,RHVI3,07/26/2024,03:00:00 AM,1.09,0.5854,,
RHVI33,RHVI3,07/26/2024,03:02:00 AM,0.92,0.4298,,
RHVI31,RHVI3,07/26/2024,03:11:00 PM,1.36,0.6707,,
RHVI32,RHVI3,07/26/2024,03:14:00 PM,1.42,2.013,,
RHVI33,RHVI3,07/26/2024,03:17:00 PM,1.3,0.8616,,
RHVI31,RHVI3,07/27/2024,03:59:00 PM,3.42,1.9438,,
RHVI32,RHVI3,07/27/2024,04:02:00 PM,2.72,1.4316,,
RHVI33,RHVI3,07/27/2024,04:05:00 PM,2.84,1.5577,,
RHVI31,RHVI3,07/28/2024,02:43:00 PM,4.82,0.5904,,
RHVI32,RHVI3,07/28/2024,02:45:00 PM,3.59,1.5552,,
RHVI33,RHVI3,07/28/2024,02:48:00 PM,3.36,1.3414,,
RHVI31,RHVI3,07/28/2024,10:43:00 PM,5.02,1.1382,,
RHVI32,RHVI3,07/28/2024,10:45:00 PM,3.8,1.3269,,
RHVI33,RHVI3,07/28/2024,10:48:00 PM,4.21,0.9527,,
RHVI31,RHVI3,07/29/2024,08:08:00 PM,6.24,1.693,,
RHVI32,RHVI3,07/29/2024,08:11:00 PM,4.11,1.6664,,
RHVI33,RHVI3,07/29/2024,08:14:00 PM,4.44,1.1666,,
