date,sample_id,trial_id,start_time,mass_pre,mass_post,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,max_temp,self_ig_start,notes
07/03/24,SXT25,170,21:44,186.6,136.3,146.4,141.1,no,43,9,10,129.9,118.6,9,0,129.9,,
07/03/24,SXT19,171,21:50,404.4,189.8,147.1,139.4,no,13,71,31,222.9,325.6,80,0,448.5,,
07/03/24,SXT28,172,22:02,385.3,341.8,146.5,134.1,no,21,15,12,127.8,115.8,3,0,127.8,,
07/03/24,SXT23,173,22:09,215.5,167,140.4,147.4,no,24,9,13,128.8,119.8,5,0,128.8,,
07/03/24,SXT27,174,22:15,421.6,352.9,151.6,143.6,no,33,6,8,133.6,117.4,5,0,133.6,,
07/03/24,SXT16,175,22:22,495.3,439.6,152.9,138.9,no,11,28,9,139,112.5,4,0,139,,
07/03/24,SXT17,176,22:29,313.8,226.6,152.9,140.5,no,27,66,22,147.5,126.7,20,0,147.5,,
07/03/24,SXT20,177,22:37,282.3,149.9,152.4,141.7,no,8,127,23,177,266.6,90,0,387.7,,
07/05/24,SXT08,178,18:05,135.2,122.9,147.6,147.8,yes,1,12,20,158.5,155,15,0,162,,
07/05/24,SXT04,179,18:13,140.1,133.7,146.5,137.8,yes,1,9,8,140.3,134.8,3,0,140.3,,
07/05/24,SXT14,180,18:18,91.2,77.6,145.6,145.8,yes,1,29,19,144.5,151,25,0,184.9,,
07/05/24,SXT12,181,18:24,134.9,75.4,145.7,147.3,yes,1,40,37,159.3,228.6,80,0,375.2,,
07/05/24,SXT09,182,18:31,94.7,63,143.3,142.1,yes,1,43,26,161.7,160.1,60,0,309.3,,
07/05/24,SXT29,183,18:39,269.4,228.5,143.4,141.3,yes,6,26,13,137.5,124.2,5,0,137.5,,
07/05/24,SXT24,184,18:45,194.3,89.8,142.5,145.6,yes,3,65,28,174.9,247,90,0,333.9,,
07/05/24,SXT26,185,18:55,184.6,142.7,140.4,147.1,yes,3,25,16,137,118.1,10,0,137,,
07/05/24,SXT22,186,19:01,172.4,103,147.1,143.9,yes,1,91,36,165.3,238.8,70,0,327.7,,
07/05/24,SXT18,187,19:11,335.8,178.1,149.7,138.5,yes,8,116,36,184.5,294.1,80,0,320.1,,
07/05/24,SXT21,188,19:20,201.8,93.4,143.7,142.1,yes,2,71,38,190,252.4,90,0,311.1,,
07/05/24,SXT32,189,19:28,199,161.1,148.1,141.7,no,23,13,10,127.9,128.9,5,0,128.9,,
07/05/24,SXT31,190,19:34,475.2,400.7,146.1,130.5,no,39,83,16,117.2,111.6,10,0,117.2,,
07/05/24,SXT30,191,19:43,342.6,129.9,150.5,134.4,no,23,252,30,287.3,181,70,0,320.6,,
07/15/24,SVT28,192,21:22,221.3,130.2,149.2,147.6,yes,1,33,48,208.5,208.4,70,0,297.6,,
07/15/24,SVT26,193,21:30,171,89.9,151,134,yes,1,108,22,180.6,198.8,90,0,269.3,,
07/15/24,SVT27,194,21:38,125.6,78.3,152.2,143,yes,1,30,28,154,164.8,30,0,190.2,,
07/15/24,SVT25,195,21:54,143.7,88.8,143.9,133.5,yes,1,38,46,180.9,181.6,75,0,212.2,,
07/15/24,SVT24,196,22:07,48.3,37.2,148.2,138.8,yes,1,15,18,144.2,138,10,0,144.2,,
07/15/24,SVT07,197,22:14,68.2,60.9,148.2,140.1,yes,1,26,16,136.5,133.2,15,0,136.5,,
07/15/24,SVT22,198,22:22,170.5,148.6,147.1,137.3,yes,1,5,13,127.1,112.3,3,0,127.1,,
07/15/24,SVT23,199,22:29,70.3,47.1,143.9,133.2,yes,1,30,24,131.2,150.6,20,0,163.1,,
07/15/24,SVT03,200,22:38,116.7,88.8,144.9,131.5,no,1,21,12,125.7,122.6,12,0,125.7,,
07/15/24,SVT04,201,22:46,50.9,44.2,136.9,134.1,yes,1,14,10,145.1,138.2,7,0,145.1,,
07/15/24,SVT05,202,22:52,76.8,64.6,153.7,142.2,yes,1,18,10,144.6,144.1,5,0,144.6,,
07/15/24,SVT06,203,22:59,32.9,29.4,152.9,151.8,no,1,4,8,151.5,149.7,2,0,151.5,,
07/15/24,SVT09,204,23:02,532.1,94.8,151.5,149.1,no,15,250,32,286.1,309.3,90,0,403.3,,
07/15/24,SVT15,205,23:15,580,304.1,139.6,148.1,no,60,135,21,141.6,236.1,45,0,327,,
07/15/24,SVT10,206,23:25,422.9,90,136,150.2,no,13,283,33,265.8,293.7,85,0,371.1,,
07/15/24,SVT21,207,23:38,522.2,184.7,135.4,133.2,yes,18,134,40,211.4,338.4,75,0,396.4,,
07/18/24,SVT13,208,18:50,305.5,106.1,140.3,137.2,yes,3,202,27,244.7,294.9,70,0,355.4,,
07/18/24,SVT17,209,19:00,585.4,92.2,146.1,138.9,yes,37,260,30,336.4,325.8,95,0,450.8,,
07/18/24,SVT11,210,19:12,433.5,96,143.3,133.2,yes,15,345,25,202,269.9,85,0,395.4,,
07/18/24,SVT20,211,19:27,508.6,76.5,138.7,132,yes,5,296,24,228.6,258.3,90,0,323.3,,
07/18/24,SVT08,212,19:38,523.1,91.6,145.7,133.4,yes,25,251,34,312.2,300.2,90,0,465,,
07/18/24,SVT12,213,19:56,527.3,72.2,148,132.7,yes,18,203,47,328,312.9,88,0,416.5,,
07/18/24,SVT19,214,20:09,707.9,177.4,137.7,133.5,yes,5,303,33,290.4,364.8,75,0,569.3,,
07/18/24,SVT18,215,20:22,436.2,234.3,140.7,143.9,yes,18,192,22,166,205,55,0,275.8,,
07/18/24,SVT16,216,20:32,823.5,690.4,135.5,134.3,yes,12,108,15,131,136.2,15,0,150,,
07/18/24,SVT14,217,20:40,531.4,86.3,149.7,137.6,yes,18,436,35,235.2,252.4,90,0,361.9,,
07/18/24,SVT01,218,21:05,32.4,26.9,136.3,137.9,yes,1,8,12,136,142,10,0,145,,
07/18/24,SVT02,219,21:10,25.2,22.8,130.7,133.5,yes,1,8,11,130,136,12,0,142,,
07/28/24,EIT01,220,23:42,91.3,78.5,138.6,145,yes,1,38,20,138.3,134.5,12,0,149,,
07/28/24,EIT04,221,23:49,194.9,104.7,150.1,148.3,yes,1,55,42,229.8,209.1,70,0,356.1,,
07/28/24,EIT06,222,23:56,90.8,77.5,152.9,140.7,no,3,13,10,148.6,135.8,5,0,148.6,,
07/29/24,EIT07,223,00:02,104.2,92,146.6,134.5,yes,4,22,10,126.7,128,5,0,128,,
07/29/24,EIT03,224,00:08,99.8,87.2,139,134.7,no,4,14,12,134,125.3,8,0,134,,
07/29/24,EIT05,225,00:16,100.8,86.7,136.1,132.3,yes,3,10,6,116.1,111.9,3,0,116.1,,
07/29/24,EIT02,226,00:23,66.8,58.5,139.9,135.8,no,2,3,5,139.6,136.2,3,0,139.6,,
07/29/24,EIT12,227,00:26,218.9,111.4,145,144.8,yes,4,157,27,160.3,219.9,70,0,316.7,,
07/29/24,EIT16,228,00:37,170,121.7,152,138.1,yes,5,35,21,145.8,118,15,0,145.8,,
07/29/24,EIT09,229,00:41,331.2,266.8,135.3,83,yes,8,123,14,137.2,123.1,15,0,137.2,,
07/30/24,EIT14,230,20:49,318.3,274.6,136.3,142.8,yes,6,54,19,139.9,108,5,0,139.9,,
07/30/24,EIT11,231,20:58,488.8,238.4,154.7,138.7,yes,1,143,32,255.1,324,90,0,455.5,,
07/30/24,EIT10,232,21:09,518.6,199.3,148.7,153.4,yes,3,262,34,267.6,241.3,90,0,427.6,,
07/30/24,EIT13,233,21:18,440.6,211.7,144.9,140.1,yes,1,210,28,187.3,252.2,90,0,383.7,,
07/30/24,EIT08,234,21:28,458.8,243.3,134.1,139.9,yes,9,181,26,193.8,302.2,50,0,385.9,,
07/30/24,EIT19,235,21:37,351.3,173.5,139.5,153.9,yes,8,80,25,127.9,319.8,60,0,384.7,,
07/30/24,EIT20,236,21:44,141.4,127.4,142.7,152.4,yes,5,10,10,130,122,5,0,130,,
07/30/24,EIT18,237,21:51,281,223.3,136.8,136.7,yes,19,10,10,108.9,102.6,8,0,180.9,,
07/30/24,EIT15,238,21:59,143.4,115,136,133.1,yes,9,9,9,117,112.1,5,0,117,,
07/30/24,EIT17,239,22:05,206.4,163.6,145,133.3,yes,18,22,11,136,108.1,15,0,136,,
07/30/24,EIT21,240,22:11,174,143.9,147.9,132.8,yes,11,9,8,128.2,111,3,0,128.2,,
